iter	Logloss
0	0.641526219
1	0.607753
2	0.5798537399
3	0.5572727562
4	0.5387616516
5	0.5223611438
6	0.5095166693
7	0.4982459072
8	0.4885026878
9	0.4808912858
10	0.4738852467
11	0.4674239738
12	0.4616092408
13	0.455172058
14	0.4504188288
15	0.4467595036
16	0.4432933714
17	0.4392379965
18	0.4362880927
19	0.4331816073
20	0.429971273
21	0.4266524772
22	0.4235633534
23	0.4209619425
24	0.4185621882
25	0.4158850133
26	0.4128555217
27	0.4102797404
28	0.4076881226
29	0.4050105521
30	0.4029995432
31	0.4009255879
32	0.3992547659
33	0.3974223535
34	0.3957279438
35	0.3937766997
36	0.3918317234
37	0.389966534
38	0.3883475077
39	0.3865289227
40	0.3848250481
41	0.3831426994
42	0.3815860151
43	0.3801077608
44	0.3787976013
45	0.377058712
46	0.3757975595
47	0.3743315177
48	0.3730295505
49	0.3716320992
50	0.3700712358
51	0.3683733715
52	0.3669795947
53	0.3658293134
54	0.3645641091
55	0.3632915012
56	0.3621825808
57	0.3608636406
58	0.3595795198
59	0.3583411411
60	0.3573788603
61	0.3561246783
62	0.355044354
63	0.3538840897
64	0.3524581429
65	0.3514605218
66	0.3504156952
67	0.348715289
68	0.3477105423
69	0.3462522601
70	0.3452237839
71	0.3440181168
72	0.3428895791
73	0.3414902305
74	0.3403176075
75	0.3392849307
76	0.3381201065
77	0.3369241541
78	0.3358643338
79	0.3345108563
80	0.3335203538
81	0.3323964062
82	0.331270232
83	0.3301658233
84	0.3290395026
85	0.327306899
86	0.3263044235
87	0.3248136306
88	0.3235193505
89	0.3222745339
90	0.3212139476
91	0.3202404593
92	0.3189551921
93	0.3178304278
94	0.316596217
95	0.3155620884
96	0.3143608114
97	0.3131661778
98	0.3117151953
99	0.3107059501
100	0.3096026813
101	0.308538177
102	0.3075105339
103	0.3063978541
104	0.3053823757
105	0.3044534584
106	0.3034968416
107	0.3025326982
108	0.3013714459
109	0.3005229321
110	0.2996946798
111	0.2986319869
112	0.2977667742
113	0.2966893165
114	0.2958065351
115	0.2948325893
116	0.2940604325
117	0.2931725051
118	0.2922415421
119	0.291421261
120	0.2906064518
121	0.28971863
122	0.2888873049
123	0.2880418319
124	0.2872289551
125	0.2864285763
126	0.2854776826
127	0.2846794494
128	0.2836589455
129	0.2828188806
130	0.28209799
131	0.2812399016
132	0.2802421826
133	0.2792453566
134	0.2784726699
135	0.2777531178
136	0.276921638
137	0.2761859767
138	0.2753552417
139	0.2746161578
140	0.2738116368
141	0.273035263
142	0.2723676309
143	0.2715396098
144	0.2708083487
145	0.2700429454
146	0.2693892704
147	0.2687771471
148	0.2681357168
149	0.2674211341
150	0.2667474232
151	0.2661395949
152	0.2653573646
153	0.2647170212
154	0.2641111685
155	0.2633671048
156	0.2627436543
157	0.2620494787
158	0.2614553911
159	0.2608407839
160	0.2601319609
161	0.2595382051
162	0.2588872554
163	0.2583129697
164	0.2575209271
165	0.2569636754
166	0.2562995966
167	0.2556962781
168	0.254976151
169	0.254367507
170	0.2537669025
171	0.253241051
172	0.2526110692
173	0.251945221
174	0.2511828028
175	0.2505127882
176	0.2500772774
177	0.2493991353
178	0.2487359194
179	0.2481535266
180	0.2475283422
181	0.2468702258
182	0.2462306974
183	0.2456313176
184	0.2450625643
185	0.2445300659
186	0.2440818814
187	0.2435463002
188	0.2430120471
189	0.242420188
190	0.2417967383
191	0.2412497749
192	0.2406967462
193	0.2401398933
194	0.2396699758
195	0.2391149556
196	0.2385879498
197	0.2380222761
198	0.2375440399
199	0.2369436262
200	0.2363816868
201	0.2357851646
202	0.2352351615
203	0.2347594442
204	0.2344041048
205	0.2337720788
206	0.2332983331
207	0.2327758958
208	0.2322603535
209	0.2317722758
210	0.2312501065
211	0.2308739517
212	0.2304113131
213	0.2298487066
214	0.2295309764
215	0.2290585811
216	0.2286791533
217	0.2281776969
218	0.2276898913
219	0.2272292643
220	0.2268169756
221	0.2262428879
222	0.2257619762
223	0.2253126772
224	0.2248431831
225	0.2243168862
226	0.2238423786
227	0.2233144671
228	0.2228211711
229	0.2223439373
230	0.2218279429
231	0.2213671509
232	0.2208995696
233	0.2205186236
234	0.2199321942
235	0.2194896001
236	0.2190311129
237	0.2187025983
238	0.2183431241
239	0.2178645377
240	0.2176064989
241	0.2171427108
242	0.2166850268
243	0.2161332832
244	0.2156909495
245	0.2152647122
246	0.2148334801
247	0.2143663156
248	0.2138317056
249	0.2133208278
250	0.2128548616
251	0.2125384183
252	0.2120337055
253	0.2116323721
254	0.2112127338
255	0.2107787477
256	0.2105050111
257	0.2101069155
258	0.2096419448
259	0.2091650928
260	0.2086437588
261	0.2084657896
262	0.2079057691
263	0.2074995572
264	0.2072798257
265	0.2068363869
266	0.2063835992
267	0.2060487903
268	0.2055905082
269	0.2051931444
270	0.2049044771
271	0.2044745026
272	0.2041306585
273	0.2037278891
274	0.2033330143
275	0.2028207658
276	0.2026772265
277	0.2022151475
278	0.2017837324
279	0.2014572096
280	0.2010087084
281	0.2005768762
282	0.2002508389
283	0.1998154156
284	0.1994273801
285	0.1991415386
286	0.1987420474
287	0.1982428949
288	0.1979053364
289	0.1975734796
290	0.1971304498
291	0.1970256972
292	0.1966910749
293	0.1962306053
294	0.1957998746
295	0.1955037116
296	0.1950691033
297	0.1947115654
298	0.1944801426
299	0.1941634505
300	0.1937917508
301	0.1935837683
302	0.1931738563
303	0.1928035823
304	0.1924501484
305	0.1920833302
306	0.1919638371
307	0.1915944804
308	0.1912582547
309	0.1909397022
310	0.1905632036
311	0.1903024387
312	0.189965053
313	0.189631501
314	0.1895071534
315	0.1891488977
316	0.1890075427
317	0.1886045907
