iter	Passed	Remaining
0	396	579530
1	813	593565
2	1226	596234
3	1660	604963
4	2070	602957
5	2410	584493
6	2755	572435
7	3151	572331
8	3480	561568
9	3852	559062
10	4232	557912
11	4592	554531
12	4954	551830
13	5301	547913
14	5652	544858
15	6019	543625
16	6383	542245
17	6726	539205
18	7062	536040
19	7410	533957
20	7737	530600
21	8070	527862
22	8389	524513
23	8739	523304
24	9104	522950
25	9436	520820
26	9777	519281
27	10118	517859
28	10419	514526
29	10777	514063
30	11116	512776
31	11432	510537
32	11748	508405
33	12072	506689
34	12376	504268
35	12691	502389
36	12985	499774
37	13327	499079
38	13664	498234
39	13999	497342
40	14308	495549
41	14630	494305
42	14939	492644
43	15284	492245
44	15603	490982
45	15603	490982
46	15923	489460
47	18522	556856
48	18829	553902
49	19151	551481
50	19467	548983
51	19766	546104
52	20069	543407
53	20409	541811
54	20731	539781
55	21050	537753
56	21408	536748
57	21729	534855
58	22029	532499
59	22348	530680
60	22660	528740
61	22967	526738
62	23286	525071
63	23586	523013
64	23907	521490
65	24194	519241
66	24523	517965
67	24836	516369
68	25142	514682
69	25437	512804
70	25740	511126
71	26047	509567
72	26363	508223
73	26675	506837
74	26977	505288
75	27289	503949
76	27592	502473
77	27909	501288
78	28236	500292
79	28542	498951
80	28868	497982
81	29186	496890
82	29503	495798
83	29814	494637
84	30105	493155
85	30418	492064
86	30729	490952
87	31026	489641
88	31336	488562
89	31649	487540
90	31942	486235
91	32279	485604
92	32563	484209
93	32873	483199
94	33170	482031
95	33487	481155
96	33818	480499
97	34118	479417
98	34407	478187
99	34711	477194
100	35024	476334
101	35307	475082
102	35617	474204
103	35918	473217
104	36218	472233
105	36502	471055
106	36813	470241
107	37101	469137
108	37439	468686
109	37747	467855
110	38042	466887
111	38332	465858
112	38640	465064
113	38947	464270
114	39285	463843
115	39596	463109
116	39909	462400
117	40229	461780
118	40499	460591
119	40805	459832
120	41085	458789
121	41402	458162
122	41730	457668
123	42048	457066
124	42359	456387
125	42666	455678
126	42971	454955
127	43276	454232
128	43592	453637
129	43881	452758
130	44178	451981
131	44178	451981
132	46746	473885
133	47037	472865
134	47327	471853
135	47625	470919
136	47931	470087
137	48232	469207
138	48527	468276
139	48823	467362
140	49119	466460
141	49422	465634
142	49716	464726
143	50028	463999
144	50328	463159
145	50633	462386
146	50929	461524
147	51225	460676
148	51516	459791
149	51769	458581
150	52023	457389
151	52303	456431
152	52612	455739
153	52875	454656
154	53182	453964
155	53436	452822
156	53746	452167
157	54044	451410
158	54337	450618
159	54628	449821
160	54895	448835
161	55201	448164
162	55503	447479
163	55794	446701
164	56052	445670
165	56360	445042
166	56649	444270
167	56954	443628
168	57245	442877
169	57512	441956
170	57799	441195
171	58094	440495
172	58402	439895
173	58720	439378
174	59023	438754
175	59313	438031
176	59609	437364
177	59910	436732
178	60204	436055
179	60508	435455
180	60767	434537
181	61061	433879
182	61340	433114
183	61637	432479
184	61919	431748
185	62204	431037
186	62474	430230
187	62762	429552
188	63058	428930
189	63355	428322
190	63635	427606
191	63897	426771
192	64188	426130
193	64488	425557
194	64803	425082
195	65111	424570
196	65398	423914
197	65702	423377
198	65981	422683
199	66296	422221
200	66568	421486
201	66818	420624
202	67077	419820
203	67379	419284
204	67670	418689
205	67952	418044
206	68233	417389
207	68522	416789
208	68810	416185
209	69092	415554
210	69391	415019
211	69672	414382
212	69980	413913
213	70261	413282
214	70558	412748
215	70816	411994
216	71098	411380
217	71427	411041
218	71710	410434
219	71970	409704
220	72242	409042
221	72527	408460
222	72817	407910
223	73067	407136
224	73371	406671
225	73666	406152
226	73939	405516
227	74248	405079
228	74501	404345
229	74778	403737
230	75040	403055
231	75360	402687
232	75614	401966
233	75892	401378
234	76162	400753
235	76468	400316
236	76763	399821
237	77078	399436
238	77350	398828
239	77637	398302
240	77925	397776
241	78208	397235
242	78469	396578
243	78818	396374
244	79102	395839
245	79387	395308
246	79686	394854
247	79990	394423
248	80252	393788
249	80528	393225
250	80787	392580
251	81061	392014
252	81344	391492
253	81627	390967
254	81901	390408
255	82184	389888
256	82436	389230
257	82749	388856
258	83031	388340
259	83304	387785
260	83571	387205
261	83861	386732
262	84154	386273
263	84427	385725
264	84709	385217
265	84975	384643
266	85264	384173
267	85553	383702
268	85815	383117
269	86086	382569
270	86369	382082
271	86645	381560
272	86917	381026
273	87197	380528
274	87483	380057
275	87750	379506
276	88025	378989
277	88308	378510
278	88604	378087
279	88872	377549
280	89151	377057
281	89414	376498
282	89673	375926
283	89958	375465
284	90219	374907
285	90484	374364
286	90803	374047
287	91088	373591
288	91359	373079
289	91642	372616
290	91923	372146
291	92230	371783
292	92493	371244
293	92781	370810
294	93072	370382
295	93345	369890
296	93614	369380
297	93891	368906
298	94183	368490
299	94495	368153
300	94759	367627
301	95054	367228
302	95381	366949
303	95682	366571
304	95963	366117
305	96285	365820
306	96607	365526
307	96898	365111
308	97212	364782
309	97526	364457
310	97830	364095
311	98182	363909
312	98485	363540
313	98809	363249
314	99112	362884
315	99463	362694
316	99773	362351
317	100037	361843
318	100320	361405
319	100604	360974
320	100897	360574
321	101167	360093
322	101455	359676
323	101742	359259
324	102025	358826
325	102337	358496
326	102590	357960
327	102860	357487
328	103177	357175
329	103456	356736
330	103710	356208
331	103970	355703
332	104248	355262
333	104517	354793
334	104848	354531
335	105120	354075
336	105384	353587
337	105686	353232
338	105973	352824
339	106239	352349
340	106536	351980
341	106810	351532
342	107105	351154
343	107374	350694
344	107644	350235
345	107972	349969
346	108244	349519
347	108529	349114
348	108793	348641
349	109068	348203
350	109342	347766
351	109614	347319
352	109887	346881
353	110180	346504
